model,AMPS_Hard,LCB_generation,coding_completion,connections,cta,math_comp,olympiad,paraphrase,plot_unscrambling,simplify,spatial,story_generation,summarize,tablejoin,tablereformat,typos,web_of_lies_v2,zebra_puzzle
gpt-4o-2024-05-13,49.0,48.718,50.0,53.0,64.0,44.792,44.159,70.8,42.806,69.6,40.0,73.667,74.617,29.22,64.0,66.0,70.0,40.0
gpt-4o-2024-08-06,53.0,44.872,58.0,58.0,58.0,50.0,41.632,70.083,45.111,72.383,56.0,80.083,75.783,38.68,62.0,60.0,66.0,42.0
gpt-4o-mini-2024-07-18,53.0,42.308,44.0,36.5,58.0,31.25,22.682,67.0,23.33,65.533,32.0,71.0,59.167,15.56,60.0,46.0,38.0,36.0
meta-llama-3.1-405b-instruct-turbo,47.0,43.59,44.0,44.167,60.0,42.708,31.743,81.133,47.377,78.333,46.0,75.5,78.933,36.52,64.0,58.0,80.0,34.0
meta-llama-3.1-70b-instruct-turbo,40.0,33.333,32.0,41.667,52.0,35.417,27.743,82.25,39.422,74.8,36.0,75.417,83.85,30.88,68.0,46.0,60.0,26.0
meta-llama-3.1-8b-instruct-turbo,20.0,29.487,10.0,13.167,42.0,15.625,14.216,64.033,16.975,57.517,18.0,50.583,54.0,4.46,50.0,30.0,12.0,16.0
mistral-large-2407,42.0,46.154,48.0,29.333,54.0,37.5,51.58,67.6,40.045,73.133,36.0,78.5,68.15,21.82,64.0,50.0,54.0,36.0
mistral-small-2402,17.0,24.359,18.0,21.667,44.0,18.75,19.892,62.067,26.499,59.15,22.0,70.667,63.75,7.64,44.0,18.0,30.0,26.0
mixtral-8x22b-instruct-v0.1,32.0,32.051,32.0,25.167,44.0,21.875,19.775,53.517,28.266,66.867,30.0,68.667,63.617,19.0,32.0,26.0,24.0,34.0
o1-mini-2024-09-12,73.0,64.103,32.0,73.833,64.0,77.083,27.58,70.267,23.338,68.85,50.0,72.0,69.55,44.2,54.0,40.0,100.0,82.0
o1-preview-2024-09-12,58.0,57.692,44.0,98.5,68.0,69.792,60.956,79.25,53.485,74.633,40.0,82.417,74.6,67.92,56.0,66.0,96.0,68.0
open-mistral-nemo,15.0,29.487,28.0,9.833,46.0,15.625,20.067,58.1,16.615,49.817,26.0,54.917,44.383,12.06,42.0,16.0,20.0,30.0
phi-3-medium-128k-instruct,22.0,28.205,14.0,9.5,48.0,13.542,17.276,62.067,14.77,51.7,40.0,63.75,47.1,4.36,44.0,14.0,38.0,24.0
phi-3-medium-4k-instruct,28.0,26.923,14.0,14.0,54.0,15.625,15.161,56.467,15.727,55.783,40.0,52.583,48.383,4.88,36.0,12.0,40.0,30.0
phi-3-mini-128k-instruct,16.0,23.077,7.0,2.0,52.0,11.458,16.294,54.15,11.294,48.7,36.0,53.417,49.35,6.06,44.0,10.0,18.0,30.0
phi-3-mini-4k-instruct,19.0,23.077,7.0,3.0,46.0,14.583,11.376,53.983,13.177,50.667,40.0,58.667,41.7,4.64,38.0,8.0,16.0,28.0
phi-3-small-128k-instruct,31.0,31.132,18.0,12.833,38.0,20.833,18.937,53.517,13.763,51.083,34.0,64.667,44.6,3.78,40.0,20.0,28.0,28.0
phi-3-small-8k-instruct,17.0,24.528,16.0,19.5,44.0,16.667,17.9,57.933,15.888,48.017,12.0,64.083,53.217,2.86,42.0,10.0,18.0,40.0
phi-3.5-mini-instruct,23.0,21.795,10.0,5.167,52.0,11.458,15.885,54.567,11.832,53.2,38.0,65.5,59.933,5.28,34.0,12.0,28.0,34.0
phi-3.5-moe-instruct,39.0,29.487,14.0,11.0,60.0,21.875,19.491,66.3,14.215,63.283,34.0,57.75,51.6,3.38,58.0,26.0,48.0,34.0
qwen2.5-72b-instruct,63.0,55.128,58.0,36.5,52.0,52.083,41.996,71.917,35.845,72.6,44.0,83.917,73.567,36.36,58.0,42.0,60.0,34.0
