model,AMPS_Hard,LCB_generation,coding_completion,connections,cta,math_comp,olympiad,paraphrase,plot_unscrambling,simplify,story_generation,summarize,tablejoin,tablereformat,typos,web_of_lies_v2,zebra_puzzle
gemini-1.5-pro-api-0514,34.0,34.0,31.579,18.833,54.0,36.458,56.799,69.267,39.922,71.05,64.667,63.8,38.42,66.0,56.0,42.0,24.0
gemini-1.5-pro-exp-0801,43.0,42.0,44.737,37.0,56.0,37.5,61.883,78.633,41.872,76.5,77.083,83.133,26.46,68.0,62.0,72.0,38.0
gemma-1.1-7b-it,10.0,22.0,0.0,7.167,40.0,4.167,31.475,51.35,12.775,41.783,43.5,40.717,2.52,12.0,12.0,0.0,20.0
gemma-2-27b-it,33.0,34.0,39.474,25.167,54.0,21.875,53.829,71.133,30.032,64.517,69.417,64.417,12.74,64.0,42.0,20.0,42.0
gemma-2-9b-it,28.0,26.0,18.421,23.0,50.0,11.458,32.478,68.05,21.926,61.767,57.333,59.05,5.18,50.0,38.0,18.0,20.0
gpt-3.5-turbo-0125,23.0,32.0,26.316,13.333,50.0,13.542,44.258,65.767,17.316,57.033,67.083,51.983,19.64,54.0,42.0,18.0,34.0
gpt-4-0125-preview,37.0,46.0,42.105,43.167,56.0,36.458,54.79,60.1,43.493,61.317,68.583,65.683,36.18,70.0,44.0,52.0,44.0
gpt-4-0613,26.0,32.0,42.105,39.167,54.0,23.958,58.701,66.767,45.538,70.967,76.083,73.333,20.08,58.0,64.0,20.0,42.0
gpt-4-turbo-2024-04-09,42.0,52.0,42.105,44.167,54.0,44.792,60.185,63.8,39.619,74.233,79.917,67.6,35.96,64.0,52.0,70.0,38.0
gpt-4o-2024-05-13,45.0,48.0,44.737,53.0,64.0,39.583,65.059,70.8,42.806,69.6,73.667,74.617,29.22,64.0,66.0,70.0,40.0
gpt-4o-2024-08-06,43.0,46.0,55.263,58.0,58.0,47.917,65.961,70.083,45.111,72.383,80.083,75.783,38.68,62.0,60.0,66.0,42.0
gpt-4o-mini-2024-07-18,41.0,42.0,44.737,36.5,58.0,35.417,48.316,67.0,23.33,65.533,71.0,59.167,15.56,60.0,46.0,38.0,36.0
hermes-3-llama-3.1-70b,21.0,28.0,31.579,32.0,52.0,20.833,43.117,58.6,37.317,58.65,52.75,51.467,26.34,66.0,62.0,32.0,32.0
llama-2-7b-chat-hf,0.0,0.0,0.0,0.0,0.0,0.0,14.352,55.117,10.576,40.267,46.083,38.067,0.0,0.0,10.0,0.0,10.0
mathstral-7b-v0.1,18.0,26.0,5.263,3.333,44.0,18.75,16.773,61.183,14.77,51.0,57.083,43.717,7.66,32.0,28.0,8.0,24.0
meta-llama-3-70b-instruct,22.0,34.0,7.895,31.167,54.0,20.833,54.112,57.883,31.154,67.133,69.75,59.25,25.24,52.0,40.0,32.0,30.0
meta-llama-3-8b-instruct,8.0,26.0,10.526,20.333,44.0,14.583,36.41,61.883,15.823,56.167,56.25,54.267,0.0,34.0,20.0,20.0,30.0
meta-llama-3.1-405b-instruct-turbo,38.0,44.0,47.368,44.167,60.0,37.5,64.149,81.133,47.377,78.333,75.5,78.933,36.52,64.0,58.0,80.0,34.0
meta-llama-3.1-70b-instruct-turbo,35.0,32.0,34.211,41.667,52.0,41.667,60.062,82.25,39.422,74.8,75.417,83.85,30.88,68.0,46.0,60.0,26.0
meta-llama-3.1-8b-instruct-turbo,20.0,30.0,13.158,13.167,42.0,17.708,35.396,64.033,16.975,57.517,50.583,54.0,4.46,50.0,30.0,12.0,16.0
mistral-7b-instruct-v0.2,7.0,18.0,5.263,6.167,32.0,9.375,34.873,54.517,12.998,41.917,58.417,51.75,1.86,10.0,8.0,8.0,18.0
mistral-7b-instruct-v0.3,5.0,18.0,0.0,6.167,46.0,5.208,33.477,56.017,15.392,50.033,55.667,47.75,1.32,18.0,14.0,6.0,16.0
mistral-large-2402,22.0,30.0,23.684,28.333,48.0,28.125,46.487,63.35,33.899,67.267,72.917,69.233,15.66,64.0,24.0,30.0,40.0
mistral-large-2407,31.0,48.0,44.737,29.333,54.0,26.042,64.413,67.6,40.045,73.133,78.5,68.15,21.82,64.0,50.0,54.0,36.0
mistral-small-2402,16.0,30.0,18.421,21.667,44.0,27.083,41.355,62.067,26.499,59.15,70.667,63.75,7.64,44.0,18.0,30.0,26.0
mixtral-8x22b-instruct-v0.1,27.0,32.0,34.211,25.167,44.0,14.583,43.415,53.517,28.266,66.867,68.667,63.617,19.0,32.0,26.0,24.0,34.0
mixtral-8x7b-instruct-v0.1,16.0,20.0,2.632,15.0,52.0,15.625,30.503,46.3,16.284,42.75,51.083,39.1,2.38,30.0,10.0,16.0,20.0
open-mistral-nemo,17.0,30.0,26.316,9.833,46.0,13.542,34.423,58.1,16.615,49.817,54.917,44.383,12.06,42.0,16.0,20.0,30.0
openhermes-2.5-mistral-7b,11.0,18.0,5.263,1.0,46.0,13.542,36.796,53.483,15.105,47.033,64.917,45.683,6.76,28.0,18.0,8.0,26.0
phi-3-medium-128k-instruct,21.0,30.0,13.158,9.5,48.0,25.0,30.931,62.067,14.77,51.7,63.75,47.1,4.36,44.0,14.0,38.0,24.0
phi-3-medium-4k-instruct,29.0,28.0,13.158,14.0,54.0,27.083,37.989,56.467,15.727,55.783,52.583,48.383,4.88,36.0,12.0,40.0,30.0
phi-3-mini-128k-instruct,14.0,22.0,6.579,2.0,52.0,7.292,29.902,54.15,11.294,48.7,53.417,49.35,6.06,44.0,10.0,18.0,30.0
phi-3-mini-4k-instruct,14.0,23.0,6.579,3.0,46.0,15.625,32.894,53.983,13.177,50.667,58.667,41.7,4.64,38.0,8.0,16.0,28.0
phi-3-small-128k-instruct,28.0,30.0,19.737,12.833,38.0,19.792,39.117,53.517,13.763,51.083,64.667,44.6,3.78,40.0,20.0,28.0,28.0
phi-3-small-8k-instruct,16.0,28.0,14.474,19.5,44.0,18.75,36.442,57.933,15.888,48.017,64.083,53.217,2.86,42.0,10.0,18.0,40.0
phi-3.5-mini-instruct,21.0,20.0,10.526,5.167,52.0,16.667,28.939,54.567,11.832,53.2,65.5,59.933,5.28,34.0,12.0,28.0,34.0
phi-3.5-moe-instruct,32.0,28.0,10.526,11.0,60.0,26.042,41.867,66.3,14.215,63.283,57.75,51.6,3.38,58.0,26.0,48.0,34.0
qwen1.5-0.5b-chat,0.0,0.0,0.0,0.0,0.0,3.125,10.162,21.367,8.633,13.033,25.833,24.95,0.0,0.0,0.0,0.0,8.0
qwen1.5-1.8b-chat,0.0,0.0,0.0,0.0,6.0,4.167,6.417,23.4,9.467,21.567,23.167,23.483,0.0,4.0,0.0,0.0,10.0
qwen1.5-110b-chat,23.0,26.0,18.421,20.333,54.0,16.667,39.161,59.517,15.34,46.767,59.25,55.517,10.36,30.0,4.0,24.0,28.0
qwen1.5-4b-chat,4.0,8.0,0.0,0.0,18.0,10.417,15.151,31.617,9.395,22.65,31.083,25.65,3.38,6.0,8.0,0.0,26.0
qwen1.5-72b-chat,19.0,30.0,15.789,4.167,52.0,17.708,43.766,50.85,17.938,56.233,69.083,56.833,10.94,36.0,12.0,8.0,34.0
qwen1.5-7b-chat,10.0,8.0,5.263,3.5,42.0,7.292,28.591,50.65,11.045,37.383,46.667,41.767,2.7,6.0,4.0,4.0,22.0
qwen2-0.5b-instruct,3.0,4.0,0.0,0.0,6.0,9.375,9.662,30.9,8.415,23.367,28.083,24.167,0.0,0.0,0.0,0.0,6.0
qwen2-1.5b-instruct,5.0,6.0,5.263,0.0,20.0,8.333,16.49,26.2,9.145,14.2,40.417,22.767,2.02,8.0,0.0,0.0,16.0
qwen2-72b-instruct,33.0,32.0,31.579,34.0,46.0,37.5,59.81,68.733,33.641,62.167,80.167,62.017,10.72,22.0,20.0,44.0,40.0
qwen2-7b-instruct,25.0,40.0,18.421,10.0,48.0,23.958,31.646,45.017,14.625,40.0,48.917,45.017,2.24,36.0,6.0,16.0,24.0
smaug-qwen2-72b-instruct,32.0,36.0,42.105,28.0,44.0,30.208,59.793,66.267,30.09,59.533,71.917,62.3,8.58,26.0,32.0,32.0,42.0
starling-lm-7b-beta,9.0,26.0,10.526,4.5,0.0,11.458,24.13,47.483,13.293,31.8,42.917,31.083,0.0,6.0,4.0,16.0,22.0
vicuna-7b-v1.5,1.0,2.0,0.0,1.0,6.0,8.333,11.978,43.367,10.98,40.217,50.667,32.767,0.0,4.0,14.0,10.0,14.0
vicuna-7b-v1.5-16k,1.0,0.0,2.632,1.0,20.0,7.292,18.837,49.817,10.749,33.1,53.5,32.067,1.8,8.0,12.0,10.0,20.0
yi-6b-chat,2.0,0.0,2.632,0.0,0.0,4.167,19.422,22.4,10.067,21.283,39.5,25.7,1.14,12.0,4.0,4.0,12.0
zephyr-7b-alpha,4.0,20.0,2.632,4.0,36.0,6.25,19.618,57.983,11.59,47.7,58.167,47.317,4.2,12.0,6.0,14.0,20.0
zephyr-7b-beta,4.0,14.0,2.632,0.0,32.0,11.458,18.234,51.767,10.854,49.617,52.167,39.717,1.24,14.0,2.0,16.0,16.0
