model,AMPS_Hard,LCB_generation,coding_completion,connections,cta,house_traversal,math_comp,olympiad,paraphrase,plot_unscrambling,simplify,story_generation,summarize,tablejoin,tablereformat,typos,web_of_lies_v2,zebra_puzzle
phi-3-mini-128k-instruct,22.0,18.0,5.263,6.667,2.0,56.0,11.458,30.974,47.383,11.734,49.667,50.167,51.383,2.06,22.0,2.0,8.0,12.0
phi-3-mini-4k-instruct,17.0,22.0,7.895,9.833,42.0,30.0,13.542,29.086,43.35,11.475,38.533,42.417,35.917,0.0,2.0,0.0,16.0,22.0
qwen1.5-0.5b-chat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.162,21.367,8.633,13.033,25.833,24.95,0.0,0.0,0.0,0.0,8.0
qwen1.5-1.8b-chat,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.417,23.4,9.467,21.567,23.167,23.483,0.0,4.0,0.0,0.0,10.0
qwen1.5-110b-chat,23.0,26.0,18.421,20.333,54.0,22.0,14.583,39.161,59.517,15.34,46.767,59.25,55.517,10.36,30.0,4.0,24.0,28.0
qwen1.5-4b-chat,4.0,8.0,0.0,0.0,18.0,6.0,1.042,15.151,31.617,9.395,22.65,31.083,25.65,3.38,6.0,8.0,0.0,26.0
qwen1.5-72b-chat,19.0,30.0,15.789,4.167,52.0,34.0,17.708,43.766,50.85,17.938,56.233,69.083,56.833,10.94,36.0,12.0,8.0,34.0
qwen1.5-7b-chat,10.0,8.0,5.263,3.5,42.0,20.0,0.0,28.591,50.65,11.045,37.383,46.667,41.767,2.7,4.0,4.0,4.0,22.0
qwen2-72b-instruct,33.0,32.0,31.579,34.0,46.0,22.0,37.5,59.81,68.733,33.641,62.167,80.167,62.017,10.72,22.0,20.0,34.0,40.0
starling-lm-7b-beta,9.0,26.0,10.526,4.5,0.0,42.0,8.333,24.13,47.483,13.293,31.8,42.917,31.083,0.0,6.0,4.0,16.0,22.0
vicuna-7b-v1.5,1.0,2.0,0.0,1.0,6.0,2.0,0.0,11.978,43.367,10.98,40.217,50.667,32.767,0.0,2.0,14.0,10.0,14.0
vicuna-7b-v1.5-16k,1.0,0.0,2.632,1.0,20.0,2.0,0.0,18.837,49.817,10.749,33.1,53.5,32.067,1.8,6.0,12.0,10.0,20.0
yi-6b-chat,2.0,0.0,2.632,0.0,0.0,0.0,0.0,19.422,22.4,10.067,21.283,39.5,25.7,1.14,12.0,4.0,4.0,12.0
zephyr-7b-alpha,4.0,20.0,2.632,4.0,36.0,14.0,5.208,19.618,57.983,11.59,47.7,58.167,47.317,4.2,12.0,6.0,14.0,20.0
zephyr-7b-beta,4.0,14.0,2.632,0.0,32.0,18.0,11.458,18.234,51.767,10.854,49.617,52.167,39.717,1.24,14.0,2.0,16.0,16.0
