model,AMPS_Hard,code_completion,code_generation,connections,javascript,logic_with_navigation,math_comp,olympiad,paraphrase,plot_unscrambling,python,simplify,story_generation,sudoku,summarize,tablejoin,tablereformat,theory_of_mind,typescript,typos
deepseek-v3.2-thinking,97.0,63.043,66.197,93.5,30.0,64.0,95.098,85.037,41.817,45.726,55.0,48.217,55.117,30.0,47.6,41.596,100.0,76.923,30.0,72.0
devstral-2512,80.0,67.391,66.197,34.333,40.0,16.0,60.784,62.279,12.35,38.674,65.0,13.217,11.533,0.0,16.9,21.75,92.157,38.462,20.0,64.0
gemini-2.5-flash-06-05-highthinking,85.0,63.043,69.014,70.167,10.0,32.0,87.255,81.762,25.433,52.657,35.0,22.467,32.917,4.0,33.167,41.327,98.039,42.308,0.0,64.0
gemini-2.5-flash-lite-highthinking,93.0,65.217,67.606,61.833,5.0,42.0,73.529,66.633,16.6,32.108,10.0,23.35,27.75,2.0,24.6,36.462,98.039,34.615,0.0,62.0
gemini-2.5-flash-lite-preview-09-2025-highthinking,93.0,67.391,63.38,63.0,5.0,24.0,83.333,66.279,27.183,32.803,0.0,24.283,32.733,6.0,28.233,37.25,98.039,40.385,0.0,62.0
gemini-2.5-flash-preview-09-2025-highthinking,96.0,67.391,67.606,77.667,10.0,60.0,89.216,84.188,24.467,52.362,40.0,26.95,30.767,4.0,28.533,47.385,98.039,42.308,10.0,66.0
gemini-2.5-pro-06-05-highthinking,74.0,73.913,77.465,87.5,20.0,68.0,89.216,86.047,28.6,62.987,40.0,34.467,32.15,8.0,37.05,44.962,98.039,69.231,15.0,76.0
gemini-3-flash-preview-high,98.0,71.739,76.056,100.0,30.0,72.0,93.137,89.56,72.983,65.694,50.0,70.133,71.467,16.0,84.867,51.442,98.039,82.692,35.0,88.0
gemini-3-flash-preview-minimal,94.0,78.261,78.873,96.5,25.0,44.0,84.314,82.081,19.767,59.439,50.0,30.033,30.7,2.0,32.783,39.654,98.039,51.923,30.0,80.0
gemini-3-pro-preview-11-2025-high,97.0,71.739,77.465,100.0,50.0,70.0,95.098,90.25,64.317,69.863,65.0,58.167,66.8,16.0,74.1,51.788,98.039,76.923,35.0,84.0
gemini-3-pro-preview-11-2025-low,97.0,65.217,76.056,99.0,45.0,68.0,92.157,89.779,16.133,61.475,65.0,27.717,28.267,12.0,35.4,44.558,98.039,63.462,40.0,78.0
glm-4.6,98.0,67.391,74.648,71.0,30.0,60.0,95.098,81.414,22.767,49.959,55.0,20.817,29.367,4.0,31.817,43.481,100.0,50.0,20.0,56.0
glm-4.6v,95.0,60.87,67.606,57.5,0.0,12.0,84.314,60.687,16.983,29.713,5.0,14.933,14.6,4.0,21.733,34.942,98.039,34.615,0.0,62.0
gpt-5-mini,98.0,76.087,76.056,96.0,30.0,48.0,89.216,78.295,61.933,37.437,50.0,56.45,71.633,20.0,66.85,43.712,100.0,59.615,20.0,74.0
gpt-5-mini-high,98.0,67.391,69.014,98.667,50.0,62.0,91.176,82.626,61.917,41.895,65.0,60.367,73.5,32.0,65.3,43.904,100.0,61.538,15.0,86.0
gpt-5-mini-low,95.0,63.043,76.056,90.5,35.0,40.0,79.412,66.545,45.633,28.737,45.0,48.367,59.5,4.0,49.35,36.923,98.039,53.846,20.0,62.0
gpt-5-mini-minimal,76.0,69.565,71.831,48.5,20.0,26.0,56.863,51.259,15.533,25.866,30.0,22.867,19.583,4.0,25.267,29.923,94.118,32.692,5.0,60.0
gpt-5-nano,96.0,58.696,76.056,74.667,15.0,8.0,86.275,54.522,48.8,16.516,40.0,55.117,55.35,8.0,48.667,35.385,96.078,42.308,15.0,52.0
gpt-5-nano-high,96.0,54.348,70.423,81.167,20.0,14.0,90.196,56.429,50.183,17.358,35.0,58.75,55.233,14.0,58.633,34.212,90.196,46.154,5.0,42.0
gpt-5-nano-low,79.0,43.478,61.972,64.333,10.0,0.0,73.529,36.099,25.633,13.871,20.0,25.95,36.783,2.0,28.017,27.346,82.353,38.462,0.0,28.0
gpt-5-pro-2025-10-06,98.0,69.565,74.648,98.0,35.0,64.0,97.059,87.603,61.4,64.085,60.0,62.217,67.267,66.0,64.95,44.846,100.0,80.769,35.0,80.0
gpt-5.1-2025-11-13-high,97.0,71.739,73.239,97.333,30.0,66.0,95.098,88.5,58.333,60.448,60.0,60.133,76.117,62.0,61.033,44.135,100.0,76.923,40.0,80.0
gpt-5.1-2025-11-13-low,94.0,76.087,84.507,98.0,25.0,58.0,81.373,74.14,43.233,53.555,55.0,46.55,55.183,6.0,45.533,37.365,100.0,73.077,35.0,82.0
gpt-5.1-2025-11-13-medium,97.0,73.913,77.465,100.0,30.0,62.0,90.196,86.846,53.483,55.971,60.0,63.85,66.817,40.0,57.067,41.212,100.0,76.923,45.0,80.0
gpt-5.1-2025-11-13-nothinking,78.0,76.087,78.873,44.667,35.0,26.0,28.431,68.614,16.883,42.867,25.0,27.117,21.933,2.0,28.05,32.192,96.078,25.0,20.0,74.0
gpt-5.1-codex,95.0,71.739,71.831,96.5,35.0,64.0,96.078,82.244,61.0,41.937,60.0,60.317,67.55,54.0,64.683,41.519,96.078,76.923,35.0,70.0
gpt-5.1-codex-max,96.0,78.261,84.507,86.0,30.0,64.0,93.137,89.483,57.383,58.155,70.0,66.5,71.25,38.0,73.367,42.827,100.0,86.538,40.0,82.0
gpt-5.1-codex-max-high,90.0,78.261,83.099,90.0,45.0,64.0,96.078,85.787,77.95,57.441,60.0,65.45,65.967,60.0,72.167,45.25,100.0,84.615,50.0,82.0
gpt-5.1-codex-max-xhigh,93.0,73.913,76.056,86.0,50.0,66.0,96.078,83.559,72.95,58.17,60.0,71.767,76.467,66.0,74.433,43.769,100.0,90.385,55.0,84.0
gpt-5.1-codex-mini,98.0,65.217,74.648,97.0,20.0,58.0,94.118,80.904,45.467,30.039,60.0,59.783,68.383,34.0,62.45,40.577,100.0,53.846,25.0,62.0
gpt-5.2-2025-12-11-high,97.0,76.087,76.056,99.0,35.0,74.0,95.098,88.566,64.1,58.427,65.0,54.083,65.7,74.0,63.2,45.577,100.0,78.846,35.0,82.0
gpt-5.2-2025-12-11-low,97.0,71.739,76.056,97.5,35.0,66.0,94.118,86.739,46.117,47.042,60.0,59.9,55.833,28.0,56.333,42.096,100.0,76.923,50.0,66.0
gpt-5.2-2025-12-11-medium,97.0,69.565,74.648,97.5,45.0,72.0,94.118,89.158,58.817,51.33,65.0,53.367,62.917,62.0,55.0,44.942,100.0,82.692,40.0,76.0
gpt-5.2-2025-12-11-nothinking,77.0,78.261,74.648,48.833,35.0,54.0,67.647,81.356,21.567,45.067,45.0,25.183,30.25,4.0,31.8,37.558,100.0,32.692,35.0,56.0
gpt-oss-120b,92.0,50.0,70.423,79.167,20.0,8.0,92.157,59.338,44.833,18.605,15.0,55.5,56.467,4.0,44.367,29.231,84.314,48.077,10.0,48.0
grok-4-1-fast-non-reasoning,47.0,52.174,56.338,44.167,15.0,8.0,45.098,58.582,12.617,41.855,15.0,17.117,18.717,4.0,19.45,26.327,90.196,40.385,5.0,64.0
grok-4-1-fast-reasoning,95.0,67.391,71.831,99.333,25.0,70.0,96.078,78.802,23.733,47.648,45.0,25.8,32.283,40.0,31.0,38.538,88.235,61.538,20.0,76.0
grok-code-fast-1-0825,87.0,50.0,78.873,55.667,25.0,42.0,61.765,67.286,18.55,38.014,55.0,20.133,24.833,2.0,25.567,38.038,100.0,38.462,10.0,52.0
kimi-k2-instruct,82.0,73.913,74.648,78.167,20.0,34.0,72.549,71.058,13.033,45.892,45.0,20.267,24.283,6.0,23.867,32.692,94.118,51.923,10.0,76.0
kimi-k2-thinking,96.0,63.043,71.831,88.0,40.0,58.0,96.078,80.305,63.383,43.36,55.0,50.867,67.417,26.0,66.467,45.058,96.078,57.692,20.0,68.0
qwen3-235b-a22b-instruct-2507,84.0,67.391,71.831,91.0,10.0,62.0,90.196,76.931,17.967,39.209,20.0,21.883,19.383,4.0,27.65,34.404,96.078,44.231,10.0,68.0
qwen3-30b-a3b-thinking,91.0,45.652,52.113,68.167,0.0,10.0,84.314,64.075,17.933,31.228,5.0,20.383,25.05,4.0,21.067,37.115,96.078,38.462,0.0,64.0
qwen3-next-80b-a3b-instruct,97.0,67.391,69.014,89.0,5.0,52.0,86.275,71.437,16.4,40.013,20.0,18.4,17.55,8.0,24.4,45.096,92.157,44.231,5.0,70.0
qwen3-next-80b-a3b-thinking,98.0,56.522,64.789,70.167,5.0,58.0,88.235,72.805,33.167,40.768,10.0,39.067,48.317,10.0,45.617,46.327,100.0,46.154,0.0,58.0
