model,AMPS_Hard,code_completion,code_generation,connections,javascript,math_comp,olympiad,paraphrase,plot_unscrambling,python,simplify,spatial,story_generation,summarize,tablejoin,tablereformat,theory_of_mind,typescript,typos,zebra_puzzle
gemini-2.5-flash-lite-highthinking,93.0,65.217,67.606,61.833,5.0,73.529,66.633,16.6,32.108,10.0,23.35,84.0,27.75,24.6,36.462,98.039,34.615,0.0,62.0,12.75
gemini-2.5-flash-lite-preview-09-2025-highthinking,93.0,67.391,63.38,63.0,5.0,83.333,66.279,27.183,32.803,0.0,24.283,68.0,32.733,28.233,37.25,98.039,40.385,0.0,62.0,12.25
gemini-2.5-flash-preview-09-2025-highthinking,96.0,67.391,67.606,77.667,10.0,89.216,84.188,24.467,52.362,40.0,26.95,80.0,30.767,28.533,47.385,98.039,42.308,10.0,66.0,23.5
gemini-2.5-pro-06-05-highthinking,74.0,73.913,77.465,87.5,20.0,89.216,86.047,28.6,62.987,40.0,34.467,98.0,32.15,37.05,44.962,98.039,69.231,15.0,76.0,48.0
gemini-3-pro-preview-11-2025-high,97.0,71.739,77.465,100.0,35.0,95.098,90.25,64.317,69.863,65.0,58.167,98.0,66.8,74.1,51.788,98.039,76.923,35.0,84.0,64.75
gemini-3-pro-preview-11-2025-low,97.0,65.217,76.056,99.0,45.0,92.157,89.779,16.133,61.475,65.0,27.717,98.0,28.267,35.4,44.558,98.039,63.462,40.0,78.0,53.0
glm-4.6,98.0,67.391,74.648,71.0,30.0,95.098,81.414,22.767,49.959,55.0,20.817,90.0,29.367,31.817,43.481,100.0,50.0,20.0,56.0,48.25
gpt-5,96.0,78.261,71.831,98.5,45.0,94.118,84.18,52.783,56.963,70.0,55.867,98.0,64.517,60.533,44.75,100.0,76.923,35.0,80.0,65.25
gpt-5-chat,89.0,76.087,78.873,82.0,20.0,68.627,65.663,18.283,44.222,15.0,26.1,74.0,28.5,28.167,32.885,96.078,34.615,15.0,74.0,22.25
gpt-5-codex,98.0,67.391,71.831,95.0,45.0,96.078,85.185,64.45,53.969,60.0,61.15,96.0,70.533,70.967,40.577,100.0,73.077,40.0,84.0,94.25
gpt-5-high,99.0,73.913,80.282,98.5,50.0,95.098,85.032,60.9,59.481,60.0,56.417,98.0,69.1,63.683,43.269,100.0,73.077,30.0,84.0,77.75
gpt-5-low,93.0,73.913,74.648,96.5,30.0,88.235,80.296,55.317,52.704,60.0,53.167,92.0,62.017,49.6,39.442,100.0,63.462,15.0,86.0,34.5
gpt-5-mini,98.0,76.087,76.056,96.0,30.0,89.216,78.295,61.933,37.437,50.0,56.45,86.0,71.633,66.85,43.712,100.0,59.615,20.0,74.0,41.0
gpt-5-mini-high,98.0,67.391,69.014,98.667,50.0,91.176,82.626,61.917,41.895,65.0,60.367,88.0,73.5,65.3,43.904,100.0,61.538,15.0,86.0,61.75
gpt-5-mini-low,95.0,63.043,76.056,90.5,35.0,79.412,66.545,45.633,28.737,45.0,48.367,84.0,59.5,49.35,36.923,98.039,53.846,20.0,62.0,5.75
gpt-5-mini-minimal,76.0,69.565,71.831,48.5,20.0,56.863,51.259,15.533,25.866,30.0,22.867,62.0,19.583,25.267,29.923,94.118,32.692,5.0,60.0,8.5
gpt-5-minimal,71.0,76.087,69.014,36.5,15.0,21.569,66.433,20.033,42.048,50.0,24.217,50.0,28.183,24.9,32.788,96.078,30.769,15.0,66.0,14.75
gpt-5-nano,96.0,58.696,76.056,74.667,15.0,86.275,54.522,48.8,16.516,40.0,55.117,80.0,55.35,48.667,35.385,96.078,42.308,15.0,52.0,11.5
gpt-5-nano-high,96.0,54.348,70.423,81.167,20.0,90.196,56.429,50.183,17.358,35.0,58.75,94.0,55.233,58.633,34.212,90.196,46.154,5.0,42.0,7.0
gpt-5-nano-low,79.0,43.478,61.972,64.333,10.0,73.529,36.099,25.633,13.871,20.0,25.95,70.0,36.783,28.017,27.346,82.353,38.462,0.0,28.0,2.25
gpt-5-pro-2025-10-06,98.0,69.565,74.648,98.0,35.0,97.059,87.603,61.4,64.085,60.0,62.217,98.0,67.267,64.95,44.846,100.0,80.769,35.0,80.0,84.0
gpt-5.1-2025-11-13-high,97.0,71.739,73.239,97.333,30.0,95.098,88.5,58.333,60.448,60.0,60.133,92.0,76.117,61.033,44.135,100.0,76.923,40.0,80.0,80.25
gpt-5.1-2025-11-13-nothinking,78.0,76.087,78.873,44.667,35.0,28.431,68.614,16.883,42.867,25.0,27.117,48.0,21.933,28.05,32.192,96.078,25.0,20.0,74.0,8.25
gpt-5.1-codex,95.0,71.739,71.831,96.5,35.0,96.078,82.244,61.0,41.937,60.0,60.317,98.0,67.55,64.683,41.519,96.078,76.923,35.0,70.0,89.0
gpt-5.1-codex-mini,98.0,65.217,74.648,97.0,20.0,94.118,80.904,45.467,30.039,60.0,59.783,94.0,68.383,62.45,40.577,100.0,53.846,25.0,62.0,53.0
gpt-oss-120b,92.0,50.0,70.423,79.167,20.0,92.157,59.338,44.833,18.605,15.0,55.5,80.0,56.467,44.367,29.231,84.314,48.077,10.0,48.0,20.75
grok-4-0709,86.0,67.391,78.873,98.667,15.0,94.118,86.975,19.817,60.497,45.0,25.867,96.0,38.783,31.833,41.019,98.039,61.538,20.0,70.0,85.0
grok-4-1-fast-non-reasoning,48.0,58.696,53.521,44.667,10.0,42.157,55.658,14.183,41.483,15.0,16.833,48.0,18.617,18.7,25.269,92.157,40.385,5.0,66.0,12.25
grok-4-1-fast-reasoning,95.0,67.391,71.831,99.333,25.0,96.078,78.802,23.733,47.648,45.0,25.8,94.0,32.283,31.0,38.538,88.235,61.538,20.0,76.0,95.25
grok-code-fast-1-0825,87.0,50.0,78.873,55.667,25.0,61.765,67.286,18.55,38.014,55.0,20.133,74.0,24.833,25.567,38.038,100.0,38.462,10.0,52.0,14.75
kimi-k2-instruct,82.0,73.913,74.648,78.167,20.0,72.549,71.058,13.033,45.892,45.0,20.267,62.0,24.283,23.867,32.692,94.118,51.923,10.0,76.0,21.0
kimi-k2-thinking,96.0,63.043,71.831,88.0,40.0,96.078,80.305,63.383,43.36,55.0,50.867,92.0,67.417,66.467,45.058,96.078,57.692,20.0,68.0,46.25
qwen3-235b-a22b-instruct-2507,84.0,67.391,71.831,91.0,10.0,90.196,76.931,17.967,39.209,20.0,21.883,84.0,19.383,27.65,34.404,96.078,44.231,10.0,68.0,43.5
qwen3-235b-a22b-thinking-2507,86.0,71.739,66.197,83.0,5.0,86.275,81.304,37.617,47.571,10.0,38.117,86.0,39.217,47.617,49.308,100.0,53.846,5.0,78.0,37.75
qwen3-30b-a3b-thinking,91.0,45.652,52.113,68.167,0.0,84.314,64.075,17.933,31.228,5.0,20.383,82.0,25.05,21.067,37.115,96.078,38.462,0.0,64.0,16.25
qwen3-32b-thinking,87.0,63.043,69.014,61.0,0.0,84.314,73.446,15.75,37.627,5.0,20.133,86.0,14.517,20.683,38.538,98.039,55.769,0.0,68.0,21.25
qwen3-next-80b-a3b-instruct,97.0,67.391,69.014,89.0,5.0,86.275,71.437,16.4,40.013,20.0,18.4,90.0,17.55,24.4,45.096,92.157,44.231,5.0,70.0,32.75
