model,AMPS_Hard,LCB_generation,coding_completion,connections,cta,math_comp,olympiad,paraphrase,plot_unscrambling,simplify,spatial,story_generation,summarize,tablejoin,tablereformat,typos,web_of_lies_v3,zebra_puzzle
hunyuan-turbos-20250313,75.0,29.333,17.143,18.0,84.0,55.208,42.191,83.2,21.374,70.4,40.0,71.833,79.083,46.48,96.0,64.0,44.667,30.0
learnlm-1.5-pro-experimental,67.0,33.333,31.429,33.5,56.0,46.875,56.25,70.3,38.093,70.533,34.0,64.633,67.167,36.9,72.0,42.0,38.333,32.25
meta-llama-3.1-405b-instruct-turbo,49.0,33.333,24.286,31.0,60.0,40.845,31.618,76.817,41.754,82.333,46.0,74.167,70.3,37.54,70.0,58.0,42.0,33.75
meta-llama-3.1-70b-instruct-turbo,41.0,24.0,15.714,20.833,52.0,28.873,27.735,72.767,36.227,73.367,36.0,63.75,66.05,31.26,78.0,58.0,34.0,19.0
meta-llama-3.1-8b-instruct-turbo,21.0,10.667,11.429,4.5,42.0,9.859,14.377,57.05,12.788,61.417,18.0,51.05,50.1,4.46,52.0,46.0,16.333,10.0
mistral-large-2411,43.0,25.333,28.571,28.833,52.0,31.25,52.357,69.883,36.527,68.2,32.0,70.333,63.3,30.46,68.0,56.0,35.0,34.5
mistral-small-2503,38.0,24.0,18.571,23.0,48.0,37.5,39.677,62.417,26.758,67.967,42.0,61.417,62.85,31.62,72.0,54.0,35.0,34.25
o1-2024-12-17-high,87.0,60.0,54.286,97.0,70.0,86.458,64.385,82.9,47.458,81.233,86.0,82.883,79.167,60.4,66.0,72.0,57.667,88.75
o1-mini-2024-09-12,81.0,52.0,30.0,59.333,64.0,71.875,27.894,66.6,18.66,73.0,50.0,63.0,59.0,47.76,62.0,56.0,37.0,67.0
o3-mini-2025-01-31-high,88.0,66.667,64.286,79.5,68.0,89.583,52.08,82.5,23.066,84.85,82.0,90.167,79.917,65.92,78.0,68.0,54.333,86.75
o3-mini-2025-01-31-low,86.0,58.667,42.857,64.833,60.0,73.958,25.066,78.583,15.379,78.417,64.0,87.417,75.833,52.12,74.0,64.0,38.333,65.5
o3-mini-2025-01-31-medium,86.0,64.0,52.857,79.833,64.0,86.458,42.568,79.85,16.519,83.533,80.0,91.583,77.667,59.68,76.0,66.0,46.0,81.0
phi-4,57.0,25.333,32.857,20.0,48.0,45.833,26.246,54.8,20.001,65.317,44.0,60.05,53.367,19.52,68.0,48.0,37.667,35.5
qwen2.5-72b-instruct-turbo,64.0,24.0,18.571,30.333,54.0,48.958,42.673,65.517,31.564,62.15,34.0,62.75,67.15,37.72,64.0,48.0,32.0,36.25
qwen2.5-7b-instruct-turbo,52.667,12.0,10.0,11.917,46.0,34.375,23.4,50.6,13.641,61.917,28.0,54.55,41.367,7.66,52.0,28.0,21.667,17.25
qwen2.5-max,66.0,33.333,34.286,53.167,58.0,48.958,55.647,76.633,45.941,69.583,44.0,77.417,77.75,53.78,92.0,76.0,29.333,42.25
qwq-32b,87.0,56.0,30.0,68.167,58.0,86.458,54.793,85.3,28.277,82.383,82.0,77.383,82.25,59.1,78.0,58.0,69.667,78.5
step-2-16k-202411,53.333,29.333,32.857,31.5,56.0,35.417,42.3,84.4,33.715,80.85,44.0,80.633,73.65,53.16,82.0,50.0,48.667,34.5
llama-4-maverick-17b-128e-instruct,77.0,32.0,42.857,52.333,54.0,56.25,48.487,78.083,34.61,76.8,42.0,77.133,70.967,35.1,88.0,62.0,40.0,49.5
llama-3.3-70b-instruct-turbo,53.0,26.667,21.429,36.667,50.0,39.583,31.629,78.2,35.23,82.517,38.0,84.883,85.083,28.46,70.0,60.0,27.333,32.25
grok-3-beta,73.0,34.667,40.0,54.167,60.0,58.333,56.924,84.817,45.223,86.217,48.0,85.5,82.417,25.58,78.0,62.0,35.333,62.25
grok-3-mini-beta-high,80.0,68.0,11.429,65.833,66.0,92.708,58.306,79.217,47.429,79.633,80.0,79.917,76.05,61.6,76.0,64.0,93.333,89.5
gpt-4.1-2025-04-14,81.0,37.333,48.571,54.833,64.0,69.792,36.367,77.117,42.82,80.433,44.0,81.25,69.383,53.4,90.0,66.0,44.667,44.5
gpt-4.1-mini-2025-04-14,80.0,48.0,47.143,32.333,58.0,62.5,33.836,70.133,27.655,72.433,60.0,72.417,66.25,44.6,92.0,54.0,53.333,48.0
gpt-4.1-nano-2025-04-14,73.0,32.0,18.571,26.167,52.0,37.5,16.673,62.283,12.707,57.983,44.0,56.383,53.5,3.76,84.0,54.0,34.0,28.75
o3-2025-04-16-high,78.0,66.667,80.0,97.0,74.0,93.75,82.261,85.933,50.988,89.433,100.0,84.083,85.25,67.4,86.0,80.0,93.0,87.0
