model,AMPS_Hard,LCB_generation,coding_completion,connections,cta,math_comp,olympiad,paraphrase,plot_unscrambling,simplify,spatial,story_generation,summarize,tablejoin,tablereformat,typos,web_of_lies_v2,zebra_puzzle
gemini-1.5-flash-002,54.0,39.744,44.0,23.833,54.0,54.167,33.536,80.65,31.935,77.483,44.0,79.667,77.25,18.72,60.0,28.0,62.0,31.0
gemini-1.5-flash-8b-exp-0827,38.0,29.487,28.0,15.333,50.0,26.042,19.306,73.567,17.061,68.683,44.0,71.5,66.317,7.96,48.0,30.0,36.0,21.25
gemini-1.5-flash-8b-exp-0924,39.0,33.333,24.0,14.833,54.0,23.958,23.825,73.433,24.556,68.567,28.0,71.333,68.85,2.06,60.0,18.0,20.0,23.25
gemini-1.5-flash-exp-0827,9.0,37.179,44.0,26.167,58.0,38.542,39.209,73.617,34.629,74.7,38.0,73.467,70.1,21.6,64.0,28.0,68.0,27.5
gemini-1.5-pro-001,40.0,34.615,30.0,25.167,54.0,30.208,40.518,64.4,39.922,70.433,40.0,54.8,51.317,38.42,66.0,56.0,42.0,29.0
gemini-1.5-pro-002,55.0,43.59,54.0,32.667,54.0,58.333,58.869,74.3,45.217,79.25,42.0,63.467,66.083,36.9,66.0,52.0,64.0,37.75
gemini-1.5-pro-exp-0827,57.0,35.897,46.0,33.0,54.0,53.125,58.323,72.1,43.439,76.117,36.0,69.55,59.267,30.5,68.0,62.0,80.0,36.75
gemini-exp-1114,70.0,48.718,56.0,29.5,58.0,60.417,34.351,80.517,44.584,80.567,46.0,73.8,73.417,50.46,64.0,42.0,86.0,35.0
gemini-exp-1121,69.0,48.718,52.0,30.833,58.0,65.625,53.632,80.95,43.178,77.5,38.0,83.75,78.383,48.88,64.0,46.0,62.0,37.5
gemma-2-27b-it,33.0,35.897,36.0,25.833,54.0,18.75,26.8,63.517,30.032,65.65,34.0,59.667,43.567,12.74,64.0,42.0,20.0,12.25
gemma-2-9b-it,30.0,26.923,18.0,16.667,50.0,13.542,15.078,52.067,21.926,60.967,14.0,51.633,45.817,5.18,50.0,38.0,18.0,11.5
gpt-4-0125-preview,40.0,43.59,40.0,30.167,56.0,33.333,26.846,61.433,43.493,61.333,46.0,55.183,50.817,36.18,70.0,44.0,52.0,31.5
gpt-4-turbo-2024-04-09,45.0,50.0,48.0,41.167,54.0,45.833,37.224,62.567,39.619,63.183,46.0,62.0,55.65,35.96,64.0,52.0,70.0,32.5
gpt-4o-2024-05-13,49.0,50.0,50.0,41.333,64.0,44.792,44.159,65.267,42.806,72.067,40.0,73.217,62.283,29.22,64.0,66.0,70.0,38.75
gpt-4o-2024-08-06,53.0,44.872,58.0,37.667,58.0,50.0,41.632,66.883,45.111,70.883,56.0,66.383,70.183,38.68,62.0,60.0,66.0,39.75
gpt-4o-2024-11-20,49.0,46.154,46.0,36.667,58.0,46.875,31.725,62.667,43.455,67.75,48.0,66.25,63.1,27.7,56.0,62.0,72.0,47.0
gpt-4o-mini-2024-07-18,53.0,42.308,44.0,16.5,58.0,31.25,22.682,57.35,23.33,60.733,32.0,56.133,52.983,15.56,60.0,46.0,38.0,28.25
grok-beta,57.0,42.308,48.0,35.5,54.0,37.5,43.027,70.467,39.995,70.833,28.0,70.417,66.767,31.02,66.0,54.0,48.0,32.75
meta-llama-3.1-405b-instruct-turbo,47.0,43.59,44.0,24.333,60.0,42.708,31.743,70.683,47.377,84.033,46.0,70.0,66.633,36.52,64.0,58.0,80.0,32.5
meta-llama-3.1-70b-instruct-turbo,40.0,33.333,32.0,17.5,52.0,35.417,27.743,73.05,39.422,74.05,36.0,67.833,63.8,30.88,68.0,46.0,60.0,17.75
meta-llama-3.1-8b-instruct-turbo,20.0,29.487,10.0,6.833,42.0,15.625,14.216,50.017,16.975,58.4,18.0,52.083,45.517,4.46,50.0,30.0,12.0,6.75
mistral-large-2407,42.0,46.154,48.0,28.5,54.0,37.5,51.58,61.083,40.045,64.417,36.0,72.167,57.267,21.82,64.0,50.0,54.0,34.75
mistral-large-2411,43.0,46.154,48.0,28.833,52.0,32.292,52.357,69.883,41.341,68.2,32.0,70.333,63.3,20.08,60.0,48.0,64.0,34.25
mistral-small-2402,17.0,24.359,18.0,12.167,44.0,18.75,19.892,56.633,26.499,58.383,22.0,61.083,49.483,7.64,44.0,18.0,30.0,1.75
mistral-small-2409,29.0,29.487,22.0,24.0,50.0,21.875,19.163,46.117,25.479,66.533,32.0,56.717,43.567,13.86,54.0,24.0,36.0,21.5
mixtral-8x22b-instruct-v0.1,32.0,32.051,32.0,11.167,44.0,21.875,19.775,51.683,28.266,58.717,30.0,48.133,50.733,19.0,32.0,26.0,24.0,20.75
o1-mini-2024-09-12,73.0,64.103,32.0,59.333,64.0,77.083,27.58,66.6,23.338,73.0,50.0,63.0,59.0,44.2,54.0,40.0,100.0,67.0
o1-preview-2024-09-12,58.0,57.692,44.0,86.667,68.0,69.792,60.956,79.083,53.485,78.083,40.0,71.583,69.633,67.92,56.0,66.0,96.0,66.25
phi-3-mini-128k-instruct,19.0,23.077,7.0,6.167,52.0,11.458,16.294,40.7,11.294,41.217,36.0,33.35,41.067,6.06,44.0,10.0,18.0,4.75
phi-3-mini-4k-instruct,19.0,23.077,8.0,4.5,46.0,14.583,11.376,34.267,13.177,40.533,40.0,37.1,33.55,4.64,38.0,8.0,16.0,10.5
phi-3-small-8k-instruct,17.0,24.528,16.0,,44.0,16.667,17.9,44.167,15.888,54.55,12.0,48.8,41.283,2.86,42.0,10.0,18.0,17.75
qwen2.5-72b-instruct-turbo,63.0,55.128,58.0,24.0,52.0,52.083,41.996,69.7,35.845,65.017,44.0,67.167,62.567,36.36,58.0,42.0,60.0,36.0
qwen2.5-7b-instruct-turbo,54.0,39.744,36.0,10.0,46.0,37.5,23.124,47.833,15.69,62.117,22.0,53.467,40.617,4.32,48.0,18.0,38.0,18.5
qwen2.5-coder-32b-instruct,45.0,57.692,56.0,17.5,52.0,51.042,41.801,56.333,26.236,60.917,32.0,63.167,54.35,24.32,54.0,26.0,70.0,24.25
step-2-16k-202411,55.0,39.744,54.0,31.5,60.0,47.917,43.735,84.4,42.072,80.85,50.0,80.633,73.65,46.58,58.0,60.0,82.0,34.5
