model,AMPS_Hard,code_completion,code_generation,connections,consecutive_events,integrals_with_game,javascript,logic_with_navigation,math_comp,olympiad,paraphrase,plot_unscrambling,python,simplify,spatial,story_generation,summarize,tablejoin,tablereformat,theory_of_mind,typescript,typos,zebra_puzzle
gemini-3-pro-preview-11-2025-low,97.0,65.217,76.056,99.0,58.141,32.0,50.0,68.0,92.157,89.779,16.133,61.475,70.0,27.717,98.0,28.267,35.4,44.558,98.039,63.462,45.0,78.0,53.0
glm-4.6,98.0,67.391,74.648,71.0,12.362,50.0,30.0,60.0,95.098,81.414,22.767,49.959,55.0,20.817,90.0,29.367,31.817,43.481,100.0,50.0,20.0,56.0,48.25
glm-4.6v,95.0,60.87,67.606,57.5,6.251,10.0,0.0,12.0,84.314,60.687,16.983,29.713,10.0,14.933,84.0,14.6,21.733,34.942,98.039,34.615,0.0,62.0,18.25
glm-4.7,97.0,67.391,78.873,70.5,18.149,35.0,25.0,62.0,92.157,79.918,31.183,53.179,65.0,36.817,82.0,37.85,36.783,47.365,100.0,76.923,35.0,72.0,18.0
glm-5,97.0,78.261,69.014,91.0,59.957,57.0,50.0,66.0,95.098,84.758,52.35,63.584,75.0,52.85,92.0,57.833,58.283,45.692,98.039,82.692,40.0,78.0,35.75
gpt-5-mini,98.0,76.087,76.056,96.0,5.103,32.0,30.0,48.0,89.216,78.295,61.933,37.437,55.0,56.45,86.0,71.633,66.85,43.712,100.0,59.615,20.0,74.0,41.0
gpt-5-mini-high,98.0,67.391,69.014,98.667,21.681,57.0,50.0,62.0,91.176,82.626,61.917,41.895,70.0,60.367,88.0,73.5,65.3,43.904,100.0,61.538,20.0,86.0,61.75
gpt-5-mini-low,95.0,63.043,76.056,90.5,0.0,12.0,35.0,40.0,79.412,66.545,45.633,28.737,50.0,48.367,84.0,59.5,49.35,36.923,98.039,53.846,25.0,62.0,5.75
gpt-5-mini-minimal,76.0,69.565,71.831,48.5,0.478,6.0,25.0,26.0,56.863,51.259,15.533,25.866,30.0,22.867,62.0,19.583,25.267,29.923,94.118,32.692,10.0,60.0,8.5
gpt-5-nano,96.0,58.696,76.056,74.667,1.499,22.0,20.0,8.0,86.275,54.522,48.8,16.516,45.0,55.117,80.0,55.35,48.667,35.385,96.078,42.308,20.0,52.0,11.5
gpt-5-nano-high,96.0,54.348,70.423,81.167,5.809,31.0,25.0,14.0,90.196,56.429,50.183,17.358,35.0,58.75,94.0,55.233,58.633,34.212,90.196,46.154,10.0,42.0,7.0
gpt-5-nano-low,79.0,43.478,61.972,64.333,0.0,7.0,10.0,0.0,73.529,36.099,25.633,13.871,20.0,25.95,70.0,36.783,28.017,27.346,82.353,38.462,0.0,28.0,2.25
gpt-5-pro-2025-10-06,98.0,69.565,74.648,98.0,26.276,62.0,45.0,64.0,97.059,87.603,61.4,64.085,65.0,62.217,98.0,67.267,64.95,44.846,100.0,80.769,45.0,80.0,84.0
gpt-5.1-2025-11-13-high,97.0,71.739,73.239,97.333,64.684,67.0,50.0,66.0,95.098,88.5,58.333,60.448,65.0,60.133,92.0,76.117,61.033,44.135,100.0,76.923,45.0,80.0,80.25
gpt-5.1-2025-11-13-low,94.0,76.087,84.507,98.0,0.237,24.0,25.0,58.0,81.373,74.14,43.233,53.555,60.0,46.55,88.0,55.183,45.533,37.365,100.0,73.077,35.0,82.0,19.5
gpt-5.1-2025-11-13-medium,97.0,73.913,77.465,100.0,48.459,42.0,45.0,62.0,90.196,86.846,53.483,55.971,65.0,63.85,94.0,66.817,57.067,41.212,100.0,76.923,50.0,80.0,63.0
gpt-5.1-2025-11-13-nothinking,78.0,76.087,78.873,44.667,3.927,3.0,35.0,26.0,28.431,68.614,16.883,42.867,30.0,27.117,48.0,21.933,28.05,32.192,96.078,25.0,20.0,74.0,8.25
gpt-5.1-codex,95.0,71.739,71.831,96.5,44.644,45.0,45.0,64.0,96.078,82.244,61.0,41.937,65.0,60.317,98.0,67.55,64.683,41.519,96.078,76.923,50.0,70.0,89.0
gpt-5.1-codex-max,96.0,78.261,84.507,86.0,21.84,56.0,40.0,64.0,93.137,89.483,57.383,58.155,75.0,66.5,100.0,71.25,73.367,42.827,100.0,86.538,55.0,82.0,87.75
gpt-5.1-codex-max-high,90.0,78.261,83.099,90.0,65.12,61.0,45.0,64.0,96.078,85.787,77.95,57.441,65.0,65.45,98.0,65.967,72.167,45.25,100.0,84.615,50.0,82.0,88.0
gpt-5.1-codex-mini,98.0,65.217,74.648,97.0,8.528,32.0,25.0,58.0,94.118,80.904,45.467,30.039,65.0,59.783,94.0,68.383,62.45,40.577,100.0,53.846,30.0,62.0,53.0
gpt-5.2-2025-12-11-high,97.0,76.087,76.056,99.0,88.913,92.0,50.0,74.0,95.098,88.566,64.1,58.427,70.0,54.083,96.0,65.7,63.2,45.577,100.0,78.846,35.0,82.0,84.0
gpt-5.2-2025-12-11-low,97.0,71.739,76.056,97.5,16.119,61.0,35.0,66.0,94.118,86.739,46.117,47.042,65.0,59.9,100.0,55.833,56.333,42.096,100.0,76.923,50.0,66.0,42.0
gpt-5.2-2025-12-11-medium,97.0,69.565,74.648,97.5,66.166,88.0,50.0,72.0,94.118,89.158,58.817,51.33,65.0,53.367,96.0,62.917,55.0,44.942,100.0,82.692,40.0,76.0,86.0
gpt-5.2-2025-12-11-nothinking,77.0,78.261,74.648,48.833,5.485,7.0,35.0,54.0,67.647,81.356,21.567,45.067,50.0,25.183,74.0,30.25,31.8,37.558,100.0,32.692,35.0,56.0,10.5
gpt-5.2-codex,98.0,86.957,80.282,95.0,89.016,75.0,30.0,68.0,95.098,86.997,67.05,56.035,75.0,60.567,94.0,74.783,63.383,45.596,100.0,78.846,50.0,70.0,70.0
gpt-oss-120b,92.0,50.0,70.423,79.167,2.87,32.0,20.0,8.0,92.157,59.338,44.833,18.605,20.0,55.5,80.0,56.467,44.367,29.231,84.314,48.077,10.0,48.0,20.75
grok-4-0709,86.0,67.391,78.873,98.667,51.072,65.0,20.0,74.0,94.118,86.975,19.817,60.497,50.0,25.867,96.0,38.783,31.833,41.019,98.039,61.538,20.0,70.0,85.0
grok-4-1-fast-non-reasoning,47.0,52.174,56.338,44.167,5.308,5.0,10.0,8.0,45.098,58.582,12.617,41.855,15.0,17.117,36.0,18.717,19.45,26.327,90.196,40.385,5.0,64.0,9.0
grok-4-1-fast-reasoning,95.0,67.391,71.831,99.333,29.941,65.0,25.0,70.0,96.078,78.802,23.733,47.648,50.0,25.8,94.0,32.283,31.0,38.538,88.235,61.538,20.0,76.0,95.25
grok-code-fast-1-0825,87.0,50.0,78.873,55.667,8.931,8.0,30.0,42.0,61.765,67.286,18.55,38.014,55.0,20.133,74.0,24.833,25.567,38.038,100.0,38.462,15.0,52.0,14.75
kimi-k2-instruct,82.0,73.913,74.648,78.167,3.216,7.0,35.0,34.0,72.549,71.058,13.033,45.892,45.0,20.267,62.0,24.283,23.867,32.692,94.118,51.923,15.0,76.0,21.0
kimi-k2-thinking,96.0,63.043,71.831,88.0,15.719,52.0,40.0,58.0,96.078,80.305,63.383,43.36,55.0,50.867,92.0,67.417,66.467,45.058,96.078,57.692,20.0,68.0,46.25
kimi-k2.5-thinking,96.0,78.261,77.465,98.0,42.186,61.0,35.0,66.0,94.118,88.354,54.6,54.998,75.0,59.8,94.0,57.9,57.35,47.769,94.118,73.077,35.0,80.0,70.75
minimax-m2.5,98.0,69.565,71.831,66.0,12.218,39.0,40.0,62.0,94.118,78.509,55.983,31.303,75.0,60.6,90.0,62.25,50.1,40.519,96.078,63.462,40.0,68.0,21.75
qwen3-235b-a22b-instruct-2507,84.0,67.391,71.831,91.0,3.665,21.0,10.0,62.0,90.196,76.931,17.967,39.209,20.0,21.883,84.0,19.383,27.65,34.404,96.078,44.231,10.0,68.0,43.5
qwen3-235b-a22b-thinking-2507,86.0,71.739,66.197,83.0,7.24,40.0,5.0,60.0,86.275,81.304,37.617,47.571,10.0,38.117,86.0,39.217,47.617,49.308,100.0,53.846,5.0,78.0,37.75
qwen3-30b-a3b-thinking,91.0,45.652,52.113,68.167,1.575,22.0,0.0,10.0,84.314,64.075,17.933,31.228,5.0,20.383,82.0,25.05,21.067,37.115,96.078,38.462,0.0,64.0,16.25
qwen3-32b-thinking,87.0,63.043,69.014,61.0,3.043,25.0,0.0,30.0,84.314,73.446,15.75,37.627,10.0,20.133,86.0,14.517,20.683,38.538,98.039,55.769,0.0,68.0,21.25
qwen3-next-80b-a3b-instruct,97.0,67.391,69.014,89.0,12.099,26.0,5.0,52.0,86.275,71.437,16.4,40.013,20.0,18.4,90.0,17.55,24.4,45.096,92.157,44.231,5.0,70.0,32.75
qwen3-next-80b-a3b-thinking,98.0,56.522,64.789,70.167,14.423,38.0,15.0,58.0,88.235,72.805,33.167,40.768,10.0,39.067,96.0,48.317,45.617,46.327,100.0,46.154,0.0,58.0,32.5
